"Ewe/V";"I/mA"
-9.515279531478882E-002;0.000000000000000E+000
1.514890491962433E-001;0.000000000000000E+000
1.002070754766464E-001;-3.602609077131895E+000
1.016159057617188E-001;-1.327709383176440E+000
1.047275066375732E-001;-6.607661494904864E-001
1.078478321433067E-001;-4.712411641258178E-001
1.110084429383278E-001;-3.647362942715793E-001
1.139666065573692E-001;-2.895232433198907E-001
1.171197965741158E-001;-2.298563643902369E-001
1.201775893568993E-001;-1.781387673460921E-001
1.232076212763786E-001;-1.317879422639369E-001
1.263186186552048E-001;-8.803741773801443E-002
1.294251680374146E-001;-4.598793365755484E-002
1.323982924222946E-001;-5.529057765046287E-003
1.355725526809692E-001;3.547976543515222E-002
1.386770009994507E-001;7.453115997390741E-002
1.416651308536530E-001;1.136815131978910E-001
1.448296755552292E-001;1.540668497359716E-001
1.478397697210312E-001;1.911245049858032E-001
1.509495228528976E-001;2.280050109524199E-001
1.540237963199615E-001;2.638284147861496E-001
1.569898575544357E-001;2.967339140446735E-001
1.602405458688736E-001;3.294575310011050E-001
1.632749438285828E-001;3.574785765234232E-001
1.662946790456772E-001;3.824484169205089E-001
1.695199459791183E-001;4.055687496300197E-001
1.724676638841629E-001;4.251805284323491E-001
1.755623817443848E-001;4.418396340855807E-001
1.786752939224243E-001;4.542041626541939E-001
1.816461980342865E-001;4.649681657934943E-001
1.848905384540558E-001;4.754236840947943E-001
1.879207640886307E-001;4.815112557151409E-001
1.909308731555939E-001;4.860259801078310E-001
1.940912306308746E-001;4.916058551986655E-001
1.970952153205872E-001;4.939409594181443E-001
2.002229839563370E-001;4.976258840943295E-001
2.033485025167465E-001;5.027368146533586E-001
2.063936740159988E-001;5.063270731869238E-001
2.095002233982086E-001;5.148316598244858E-001
2.125943601131439E-001;5.235022306202696E-001
2.155543565750122E-001;5.348171663928740E-001
2.187170684337616E-001;5.477155913935565E-001
2.217674553394318E-001;5.660390888682860E-001
2.248545140028000E-001;5.859962454164407E-001
2.279720753431320E-001;6.089693457154617E-001
2.309991270303726E-001;6.311523237895029E-001
2.341627627611160E-001;6.575637604528870E-001
2.371709197759628E-001;6.844006203963910E-001
2.402668893337250E-001;7.083405057006420E-001
2.433704286813736E-001;7.348105361661519E-001
2.464630156755447E-001;7.559539594175391E-001
2.495833337306976E-001;7.784752476438612E-001
2.526411414146423E-001;8.014475819068903E-001
2.555654048919678E-001;8.199160362283209E-001
2.587620317935944E-001;8.372831562008116E-001
2.618092000484467E-001;8.593938496456897E-001
2.649143934249878E-001;8.765952432814537E-001
2.680710554122925E-001;8.959796315927733E-001
2.710886001586914E-001;9.142700140571893E-001
2.740860581398010E-001;9.339113022821532E-001
2.772222161293030E-001;9.521309139165445E-001
2.802926898002625E-001;9.707782362716326E-001
2.834876775741577E-001;9.947866525111273E-001
2.865100800991058E-001;1.014676623567663E+000
2.895085215568542E-001;1.037051721792544E+000
2.927009165287018E-001;1.063022035667229E+000
2.957157790660858E-001;1.082558493164859E+000
2.987327873706818E-001;1.105800797113812E+000
3.018721640110016E-001;1.135623949710803E+000
3.048736453056335E-001;1.158308932255508E+000
3.080905675888062E-001;1.185769505673289E+000
3.110285997390747E-001;1.211704028133630E+000
3.140982389450073E-001;1.237589347782632E+000
3.173498213291168E-001;1.273445576443059E+000
3.203694522380829E-001;1.293876843882074E+000
3.234823942184448E-001;1.319854425014650E+000
3.265083730220795E-001;1.345248628301867E+000
3.295502960681915E-001;1.368730813588620E+000
3.327278494834900E-001;1.398328469107341E+000
3.357430100440979E-001;1.419898885737265E+000
3.388360142707825E-001;1.446783145253963E+000
3.419722616672516E-001;1.477531473928668E+000
3.450004756450653E-001;1.501182361444766E+000
3.481196463108063E-001;1.527327508440322E+000
3.511837720870972E-001;1.556543545217160E+000
3.542196154594421E-001;1.580500514770531E+000
3.573820590972900E-001;1.610309354414110E+000
3.603963851928711E-001;1.636885370428516E+000
3.635368347167969E-001;1.662950679752161E+000
3.666853010654449E-001;1.690446981779337E+000
3.696259856224060E-001;1.715701340954115E+000
3.727802336215973E-001;1.744676479386660E+000
3.757584393024445E-001;1.768163017796876E+000
3.788608312606812E-001;1.795479673598042E+000
3.820161819458008E-001;1.826729284958233E+000
3.850772976875305E-001;1.853876572847788E+000
3.881635367870331E-001;1.879554102136936E+000
3.912223875522614E-001;1.910987471281928E+000
3.942165672779083E-001;1.935883591772260E+000
3.973920345306396E-001;1.965679930412918E+000
4.004996418952942E-001;1.991172781053551E+000
4.035086929798126E-001;2.015126954605432E+000
4.066669344902039E-001;2.042038398884845E+000
4.096422791481018E-001;2.069122006417722E+000
4.127690196037292E-001;2.093923656868157E+000
4.158224463462830E-001;2.117782572922243E+000
4.188888370990753E-001;2.146751817440752E+000
4.220261275768280E-001;2.177067681165170E+000
4.251138567924500E-001;2.207751586307957E+000
4.281904697418213E-001;2.240707602927156E+000
4.313001930713654E-001;2.286070673140330E+000
4.343293905258179E-001;2.338791161213518E+000
4.373783171176910E-001;2.422966735543506E+000
4.405032694339752E-001;2.520378125567035E+000
4.434900581836700E-001;2.551356734693965E+000
