Ewe/V;"I/mA"
5.760915279388428E-001;0.000000000000000E+000
4.679377079010010E-001;0.000000000000000E+000
-7.010620832443237E-001;-7.074359846115112E+001
-7.029271125793457E-001;-1.925791934186177E+001
-7.062513232231140E-001;-9.594482833898240E+000
-7.093080878257751E-001;-7.810023260019495E+000
-7.123560309410095E-001;-7.017170640204156E+000
-7.155691385269165E-001;-6.516839296979626E+000
-7.185667753219604E-001;-6.164495643342789E+000
-7.216758728027344E-001;-5.912967279726374E+000
-7.247371673583984E-001;-5.735959008769665E+000
-7.277465462684631E-001;-5.587973524036322E+000
-7.309620380401611E-001;-5.478273550530204E+000
-7.339671254158020E-001;-5.388034024492839E+000
-7.370382547378540E-001;-5.311046044875447E+000
-7.400668859481812E-001;-5.236468945974181E+000
-7.431963682174683E-001;-5.170766623787372E+000
-7.462612986564636E-001;-5.111069601544280E+000
-7.493770718574524E-001;-5.053514179125600E+000
-7.524399161338806E-001;-4.997022559673546E+000
-7.555516362190247E-001;-4.942661869454184E+000
-7.586053013801575E-001;-4.904600298626249E+000
-7.616854906082153E-001;-4.876571566153252E+000
-7.647497057914734E-001;-4.853192150851712E+000
-7.678328156471252E-001;-4.834710161987953E+000
-7.708885073661804E-001;-4.818702693267708E+000
-7.739738225936890E-001;-4.808126532462069E+000
-7.770623564720154E-001;-4.802789276074428E+000
-7.801420092582703E-001;-4.787016075172573E+000
-7.832114100456238E-001;-4.784154347945616E+000
-7.863451838493347E-001;-4.789381953462200E+000
-7.894238829612732E-001;-4.790067661354861E+000
-7.924931049346924E-001;-4.788494553029391E+000
-7.956141233444214E-001;-4.786816705916252E+000
-7.986048460006714E-001;-4.789423605736488E+000
-8.017343282699585E-001;-4.792024775858692E+000
-8.047621846199036E-001;-4.791642985243456E+000
-8.078674674034119E-001;-4.792987347661569E+000
-8.109716176986694E-001;-4.795149466669656E+000
-8.139951229095459E-001;-4.795881403171748E+000
-8.171617388725281E-001;-4.800250344340014E+000
-8.202065825462341E-001;-4.807000694185071E+000
-8.232608437538147E-001;-4.814779954073174E+000
-8.263829946517944E-001;-4.822261135046901E+000
-8.294499516487122E-001;-4.833219187487984E+000
-8.325383663177490E-001;-4.842548524949606E+000
-8.355714082717896E-001;-4.851557700383374E+000
-8.386712670326233E-001;-4.862294662207586E+000
-8.417340517044067E-001;-4.871729427211271E+000
-8.447979092597961E-001;-4.880983033548560E+000
-8.479105830192566E-001;-4.890362052495917E+000
-8.509828448295593E-001;-4.900824350013067E+000
-8.540689349174500E-001;-4.911866184674661E+000
-8.571487665176392E-001;-4.920737423421457E+000
-8.601893186569214E-001;-4.927140634446310E+000
-8.632901906967163E-001;-4.937160855462068E+000
-8.663805127143860E-001;-4.951115640036143E+000
-8.694274425506592E-001;-4.957207408823820E+000
-8.726259469985962E-001;-4.965517051729916E+000
-8.756378889083862E-001;-4.969323496949627E+000
-8.787302970886230E-001;-4.969855707723490E+000
-8.817273974418640E-001;-4.966984071996336E+000
-8.848071694374084E-001;-4.961780842235882E+000
-8.879579305648804E-001;-4.958132609227121E+000
-8.909602761268616E-001;-4.954184684054098E+000
-8.941046595573425E-001;-4.953270811308528E+000
-8.971250653266907E-001;-4.949385132660080E+000
-9.002482891082764E-001;-4.943929353396570E+000
-9.034064412117004E-001;-4.940857145004770E+000
-9.063993692398071E-001;-4.940555138699306E+000
-9.095671176910400E-001;-4.939898004788343E+000
-9.125704169273376E-001;-4.947873407148748E+000
-9.156734347343445E-001;-4.945217084549252E+000
-9.187935590744019E-001;-4.944244885830644E+000
-9.217398166656494E-001;-4.943696524518145E+000
-9.249212145805359E-001;-4.947973990568869E+000
-9.279119968414307E-001;-4.952594178060792E+000
-9.310383200645447E-001;-4.960527126340395E+000
-9.341012239456177E-001;-4.977494512587882E+000
-9.371788501739502E-001;-4.998030735260187E+000
-9.404031634330750E-001;-5.022131157320104E+000
-9.433588385581970E-001;-5.044436154895863E+000
-9.464884400367737E-001;-5.076689593882946E+000
-9.495575428009033E-001;-5.111638417654362E+000
-9.526427388191223E-001;-5.165917015915184E+000
-9.557436108589172E-001;-5.213889387971179E+000
-9.588735103607178E-001;-5.283309763275454E+000
-9.619002938270569E-001;-5.352476567135406E+000
-9.649185538291931E-001;-5.425594755684426E+000
-9.679628610610962E-001;-5.526730573116200E+000
-9.711133837699890E-001;-5.608447930769351E+000
-9.741886854171753E-001;-5.710323770657439E+000
-9.772607088088989E-001;-5.817692691859676E+000
-9.803453683853149E-001;-5.933217794312512E+000
-9.834756851196289E-001;-6.052994108712497E+000
-9.865579605102539E-001;-6.197003786532569E+000
-9.895771741867065E-001;-6.331611200741037E+000
-9.926427006721497E-001;-6.478636233486416E+000
-9.957494735717773E-001;-6.617688868852468E+000
-9.988331198692322E-001;-6.773603282083030E+000
-1.000437378883362E+000;-6.848015369153494E+000
