Reaction,Reference,IR Compensation,Resistance,Percentage,Area(cm²),pH,Sample,Overpotential n10,n100
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#2_2024-10-28_22-21-12_08_LSV_C01,N/A,N/A
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#8_2024-10-29_11-10-37_08_LSV_C01,N/A,N/A
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#4_2024-10-28_23-11-05_08_LSV_C01,N/A,N/A
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#6_2024-10-28_23-53-00_08_LSV_C01,N/A,N/A
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#9_2024-10-29_11-35-35_09_LSV_C01,168.60,393.60
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#7_2024-10-29_10-45-34_09_LSV_C01,300.60,429.60
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#8_2024-10-29_11-10-37_07_LSV_C01,222.40,224.40
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#3_2024-10-28_22-46-06_08_LSV_C01,N/A,N/A
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#2_2024-10-28_22-21-12_07_LSV_C01,N/A,N/A
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#1_2024-10-28_21-56-09_09_LSV_C01,235.60,433.60
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#4_2024-10-28_23-11-05_09_LSV_C01,208.60,383.60
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#6_2024-10-28_23-53-00_09_LSV_C01,275.60,426.60
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#8_2024-10-29_11-10-37_09_LSV_C01,297.60,432.60
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#2_2024-10-28_22-21-12_09_LSV_C01,161.60,414.60
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#1_2024-10-28_21-56-09_08_LSV_C01,N/A,N/A
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#3_2024-10-28_22-46-06_09_LSV_C01,260.60,420.60
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#7_2024-10-29_10-45-34_08_LSV_C01,N/A,N/A
HER,Hg/HgO,Auto,0,100%,1,14,CWB_NFCSAC_20241028_sample#9_2024-10-29_11-35-35_08_LSV_C01,N/A,N/A
