Potential (V vs. RHE),Current density (mA/cm²)
-0.0752,-13.6189
-0.0731,-9.0019
-0.0700,-7.3422
-0.0669,-6.7210
-0.0639,-6.2776
-0.0608,-5.9183
-0.0577,-5.6045
-0.0546,-5.3203
-0.0515,-5.0629
-0.0485,-4.8272
-0.0454,-4.6091
-0.0422,-4.4062
-0.0392,-4.2139
-0.0361,-4.0417
-0.0331,-3.8851
-0.0300,-3.7276
-0.0269,-3.5906
-0.0238,-3.4526
-0.0207,-3.3347
-0.0177,-3.2154
-0.0145,-3.1171
-0.0114,-3.0193
-0.0084,-2.9341
-0.0053,-2.8609
-0.0022,-2.7903
0.0008,-2.7205
0.0040,-2.6601
0.0070,-2.6012
0.0101,-2.5443
0.0111,0.0000
0.0131,-2.4899
0.0162,-2.4424
0.0193,-2.3963
0.0224,-2.3524
0.0254,-2.3111
0.0286,-2.2682
0.0316,-2.2310
0.0348,-2.1956
0.0378,-2.1604
0.0409,-2.1267
0.0439,-2.0961
0.0469,-2.0660
0.0501,-2.0356
0.0532,-2.0028
0.0563,-1.9742
0.0594,-1.9464
0.0624,-1.9190
0.0656,-1.8923
0.0686,-1.8657
0.0717,-1.8402
0.0748,-1.8156
0.0778,-1.7911
0.0809,-1.7628
0.0839,-1.7378
0.0870,-1.7161
0.0901,-1.6930
0.0932,-1.6701
0.0964,-1.6478
0.0993,-1.6257
0.1025,-1.6031
0.1056,-1.5815
0.1086,-1.5616
0.1117,-1.5407
0.1147,-1.5199
0.1179,-1.4965
0.1209,-1.4769
0.1240,-1.4572
0.1271,-1.4382
0.1301,-1.4200
0.1332,-1.4014
0.1363,-1.3828
0.1394,-1.3632
0.1426,-1.3460
0.1455,-1.3304
0.1487,-1.3141
0.1518,-1.2975
0.1548,-1.2818
0.1579,-1.2657
0.1609,-1.2465
0.1640,-1.2318
0.1671,-1.2174
0.1702,-1.2028
0.1732,-1.1892
0.1763,-1.1745
0.1795,-1.1599
0.1826,-1.1455
0.1856,-1.1313
0.1888,-1.1188
0.1917,-1.1058
0.1949,-1.0928
0.1979,-1.0809
0.2010,-1.0696
0.2041,-1.0573
0.2070,-1.0449
0.2102,-1.0338
0.2133,-1.0219
0.2163,-1.0103
0.2195,-0.9989
0.2225,-0.9859
0.2246,-0.9807
0.2250,-0.9625
0.4375,0.0000
