Ewe/V;"I/mA"
-1.347780227661133E-001;0.000000000000000E+000
1.469866037368774E-001;0.000000000000000E+000
1.000162959098816E-001;-1.684747213340668E+000
1.017887890338898E-001;-5.528581970402211E-001
1.050719618797302E-001;-2.876693701666850E-001
1.081053987145424E-001;-2.180193958008473E-001
1.112091243267059E-001;-1.769017601139899E-001
1.143630072474480E-001;-1.463059598316339E-001
1.173550859093666E-001;-1.208562051211310E-001
1.204648166894913E-001;-9.714624441821451E-002
1.235498562455177E-001;-7.448746886038282E-002
1.266429573297501E-001;-5.238741257024293E-002
1.297282874584198E-001;-2.998091000208464E-002
1.327924430370331E-001;-7.646809695598000E-003
1.358332931995392E-001;1.459042609444439E-002
1.389949619770050E-001;3.608847722909231E-002
1.419617980718613E-001;5.789892018257051E-002
1.450702846050262E-001;7.968685315501589E-002
1.481545865535736E-001;9.996442303851660E-002
1.512452363967896E-001;1.197957757296257E-001
1.543348282575607E-001;1.385904412446843E-001
1.573650538921356E-001;1.548340970941031E-001
1.605521887540817E-001;1.700969544425268E-001
1.635769158601761E-001;1.823228936388648E-001
1.666592806577683E-001;1.920864726876824E-001
1.697562932968140E-001;1.999581365751237E-001
1.728544086217880E-001;2.054535508444486E-001
1.758867055177689E-001;2.082029492156678E-001
1.790134161710739E-001;2.089042659334176E-001
1.819645762443542E-001;2.091351868816660E-001
1.851035505533218E-001;2.084942309013831E-001
1.882292032241821E-001;2.067337513948775E-001
1.912732124328613E-001;2.039749860660689E-001
1.944440752267838E-001;2.017557084532662E-001
1.975096464157104E-001;1.987909245577666E-001
2.005621492862701E-001;1.961629260771027E-001
2.037512511014938E-001;1.944813714961908E-001
2.066840827465057E-001;1.920033065515161E-001
2.097864001989365E-001;1.910652270065407E-001
2.128931432962418E-001;1.910960109058595E-001
2.159592211246490E-001;1.909110337889248E-001
2.190392911434174E-001;1.913780818900941E-001
2.220398485660553E-001;1.938150320403094E-001
2.251294404268265E-001;1.959740658680617E-001
2.282571792602539E-001;1.995054426057239E-001
2.312397509813309E-001;2.020675710389905E-001
2.343841642141342E-001;2.059699707421632E-001
2.375122159719467E-001;2.107530260741362E-001
2.405509054660797E-001;2.140196538528969E-001
2.437825500965118E-001;2.185133331124267E-001
2.466887682676315E-001;2.224589912667749E-001
2.498207539319992E-001;2.264347201569219E-001
2.529521882534027E-001;2.312282622365684E-001
2.559649348258972E-001;2.348454074408179E-001
2.590598464012146E-001;2.389796062588138E-001
2.621261179447174E-001;2.448798830232137E-001
