Apr. 21, 2024   16:43:04
Linear Sweep Voltammetry
File: 2 cd-900-lsv-80ug-ir.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -0.9
Final E (V) = 0.2
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
2nd E (V) = 0.234
Sens 2 (A/V) = 1e-4
Comp R (ohm) = 36.8

Results:

Channel 1:
Ep = 0.199V
ip = 4.950e-5A
Ah = 5.596e-3C

Ep = -0.419V
ip = 7.519e-6A
Ah = 8.849e-5C

Current 2:

Ep = -0.419V
ip = 7.519e-6A
Ah = 8.849e-5C

Ep = 0.001V
ip = 1.695e-8A
Ah = 2.988e-9C

Potential/V, i1/A, i2/A

-0.900, -1.923e-3, 7.931e-5
-0.899, -1.753e-3, 7.902e-5
-0.898, -1.642e-3, 7.901e-5
-0.897, -1.555e-3, 7.901e-5
-0.896, -1.484e-3, 7.872e-5
-0.895, -1.429e-3, 7.871e-5
-0.894, -1.378e-3, 7.864e-5
-0.893, -1.337e-3, 7.832e-5
-0.892, -1.308e-3, 7.828e-5
-0.891, -1.277e-3, 7.814e-5
-0.890, -1.254e-3, 7.796e-5
-0.889, -1.231e-3, 7.779e-5
-0.888, -1.214e-3, 7.777e-5
-0.887, -1.198e-3, 7.762e-5
-0.886, -1.183e-3, 7.750e-5
-0.885, -1.170e-3, 7.739e-5
-0.884, -1.160e-3, 7.726e-5
-0.883, -1.150e-3, 7.713e-5
-0.882, -1.142e-3, 7.701e-5
-0.881, -1.133e-3, 7.687e-5
-0.880, -1.127e-3, 7.678e-5
-0.879, -1.120e-3, 7.670e-5
-0.878, -1.114e-3, 7.655e-5
-0.877, -1.105e-3, 7.646e-5
-0.876, -1.105e-3, 7.628e-5
-0.875, -1.101e-3, 7.624e-5
-0.874, -1.096e-3, 7.619e-5
-0.873, -1.091e-3, 7.601e-5
-0.872, -1.088e-3, 7.594e-5
-0.871, -1.084e-3, 7.581e-5
-0.870, -1.081e-3, 7.566e-5
-0.869, -1.079e-3, 7.559e-5
-0.868, -1.077e-3, 7.552e-5
-0.867, -1.072e-3, 7.541e-5
-0.866, -1.070e-3, 7.535e-5
-0.865, -1.069e-3, 7.529e-5
-0.864, -1.065e-3, 7.515e-5
-0.863, -1.066e-3, 7.511e-5
-0.862, -1.063e-3, 7.500e-5
-0.861, -1.060e-3, 7.489e-5
-0.860, -1.060e-3, 7.479e-5
-0.859, -1.054e-3, 7.462e-5
-0.858, -1.057e-3, 7.462e-5
-0.857, -1.053e-3, 7.445e-5
-0.856, -1.052e-3, 7.445e-5
-0.855, -1.051e-3, 7.426e-5
-0.854, -1.049e-3, 7.419e-5
-0.853, -1.048e-3, 7.417e-5
-0.852, -1.046e-3, 7.407e-5
-0.851, -1.047e-3, 7.405e-5
-0.850, -1.044e-3, 7.387e-5
-0.849, -1.044e-3, 7.386e-5
-0.848, -1.038e-3, 7.373e-5
-0.847, -1.042e-3, 7.373e-5
-0.846, -1.042e-3, 7.374e-5
-0.845, -1.039e-3, 7.353e-5
-0.844, -1.039e-3, 7.363e-5
-0.843, -1.038e-3, 7.351e-5
-0.842, -1.035e-3, 7.341e-5
-0.841, -1.037e-3, 7.346e-5
-0.840, -1.036e-3, 7.331e-5
-0.839, -1.036e-3, 7.322e-5
-0.838, -1.034e-3, 7.318e-5
-0.837, -1.033e-3, 7.307e-5
-0.836, -1.032e-3, 7.297e-5
-0.835, -1.029e-3, 7.291e-5
-0.834, -1.032e-3, 7.304e-5
-0.833, -1.031e-3, 7.297e-5
-0.832, -1.030e-3, 7.286e-5
-0.831, -1.030e-3, 7.286e-5
-0.830, -1.032e-3, 7.276e-5
-0.829, -1.028e-3, 7.259e-5
-0.828, -1.029e-3, 7.262e-5
-0.827, -1.029e-3, 7.253e-5
-0.826, -1.023e-3, 7.253e-5
