Apr. 21, 2024   17:03:32
Linear Sweep Voltammetry
File: 2 cd-900-lsv-80ug-n2.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -0.9
Final E (V) = 0.2
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
2nd E (V) = 0.234
Sens 2 (A/V) = 1e-4

Results:

Channel 1:
Ep = -0.550V
ip = 1.996e-7A
Ah = 2.642e-7C

Ep = 0.199V
ip = 4.132e-5A
Ah = 4.727e-3C

Ep = -0.441V
ip = 1.310e-7A
Ah = 6.543e-7C

Current 2:

Ep = -0.441V
ip = 1.310e-7A
Ah = 6.543e-7C

Potential/V, i1/A, i2/A

-0.900, -1.725e-3, 2.453e-5
-0.899, -1.574e-3, 2.421e-5
-0.898, -1.439e-3, 2.395e-5
-0.897, -1.315e-3, 2.374e-5
-0.896, -1.202e-3, 2.353e-5
-0.895, -1.100e-3, 2.335e-5
-0.894, -1.006e-3, 2.316e-5
-0.893, -9.197e-4, 2.303e-5
-0.892, -8.418e-4, 2.288e-5
-0.891, -7.695e-4, 2.272e-5
-0.890, -7.036e-4, 2.258e-5
-0.889, -6.429e-4, 2.245e-5
-0.888, -5.873e-4, 2.232e-5
-0.887, -5.363e-4, 2.219e-5
-0.886, -4.892e-4, 2.208e-5
-0.885, -4.458e-4, 2.198e-5
-0.884, -4.061e-4, 2.185e-5
-0.883, -3.691e-4, 2.176e-5
-0.882, -3.354e-4, 2.165e-5
-0.881, -3.040e-4, 2.156e-5
-0.880, -2.754e-4, 2.147e-5
-0.879, -2.489e-4, 2.140e-5
-0.878, -2.242e-4, 2.132e-5
-0.877, -2.015e-4, 2.125e-5
-0.876, -1.803e-4, 2.115e-5
-0.875, -1.608e-4, 2.108e-5
-0.874, -1.426e-4, 2.099e-5
-0.873, -1.258e-4, 2.091e-5
-0.872, -1.104e-4, 2.085e-5
-0.871, -9.593e-5, 2.076e-5
-0.870, -8.237e-5, 2.068e-5
-0.869, -6.983e-5, 2.061e-5
-0.868, -5.832e-5, 2.054e-5
-0.867, -4.750e-5, 2.047e-5
-0.866, -3.739e-5, 2.042e-5
-0.865, -2.807e-5, 2.036e-5
-0.864, -1.917e-5, 2.028e-5
-0.863, -1.104e-5, 2.021e-5
-0.862, -3.482e-6, 2.013e-5
-0.861, 3.835e-6, 2.011e-5
-0.860, 1.046e-5, 2.007e-5
-0.859, 1.665e-5, 2.001e-5
-0.858, 2.264e-5, 1.994e-5
-0.857, 2.825e-5, 1.985e-5
-0.856, 3.332e-5, 1.981e-5
-0.855, 3.808e-5, 1.979e-5
-0.854, 4.246e-5, 1.975e-5
-0.853, 4.667e-5, 1.969e-5
-0.852, 5.065e-5, 1.965e-5
-0.851, 5.451e-5, 1.959e-5
-0.850, 5.800e-5, 1.955e-5
-0.849, 6.132e-5, 1.949e-5
-0.848, 6.452e-5, 1.945e-5
-0.847, 6.753e-5, 1.941e-5
-0.846, 7.026e-5, 1.937e-5
-0.845, 7.294e-5, 1.932e-5
-0.844, 7.544e-5, 1.927e-5
-0.843, 7.779e-5, 1.923e-5
-0.842, 8.013e-5, 1.918e-5
-0.841, 8.220e-5, 1.915e-5
-0.840, 8.414e-5, 1.911e-5
-0.839, 8.611e-5, 1.906e-5
-0.838, 8.801e-5, 1.902e-5
-0.837, 8.971e-5, 1.898e-5
-0.836, 9.141e-5, 1.895e-5
-0.835, 9.299e-5, 1.892e-5
-0.834, 9.445e-5, 1.890e-5
-0.833, 9.584e-5, 1.886e-5
-0.832, 9.723e-5, 1.882e-5
-0.831, 9.852e-5, 1.878e-5
-0.830, 9.969e-5, 1.875e-5
-0.829, 1.009e-4, 1.872e-5
-0.828, 1.021e-4, 1.867e-5
-0.827, 1.032e-4, 1.862e-5
-0.826, 1.043e-4, 1.858e-5
-0.825, 1.054e-4, 1.857e-5
-0.824, 1.062e-4, 1.854e-5
-0.823, 1.071e-4, 1.851e-5
-0.822, 1.080e-4, 1.849e-5
-0.821, 1.088e-4, 1.845e-5
-0.820, 1.096e-4, 1.841e-5
-0.819, 1.109e-4, 1.839e-5
-0.818, 1.115e-4, 1.837e-5
-0.817, 1.121e-4, 1.834e-5
-0.816, 1.127e-4, 1.831e-5
-0.815, 1.134e-4, 1.828e-5
-0.814, 1.140e-4, 1.825e-5
-0.813, 1.146e-4, 1.822e-5
-0.812, 1.152e-4, 1.819e-5
-0.811, 1.156e-4, 1.816e-5
-0.810, 1.162e-4, 1.813e-5
-0.809, 1.168e-4, 1.810e-5
-0.808, 1.174e-4, 1.807e-5
-0.807, 1.180e-4, 1.804e-5
-0.806, 1.185e-4, 1.801e-5
-0.805, 1.189e-4, 1.799e-5
-0.804, 1.193e-4, 1.798e-5
-0.803, 1.197e-4, 1.795e-5
-0.802, 1.202e-4, 1.792e-5
-0.801, 1.205e-4, 1.790e-5
-0.800, 1.210e-4, 1.788e-5
-0.799, 1.215e-4, 1.786e-5
-0.798, 1.218e-4, 1.783e-5
-0.797, 1.223e-4, 1.778e-5
-0.796, 1.227e-4, 1.776e-5
-0.795, 1.230e-4, 1.773e-5
-0.794, 1.234e-4, 1.771e-5
-0.793, 1.237e-4, 1.769e-5
-0.792, 1.240e-4, 1.768e-5
-0.791, 1.244e-4, 1.765e-5
-0.790, 1.247e-4, 1.764e-5
-0.789, 1.250e-4, 1.763e-5
-0.788, 1.254e-4, 1.761e-5
-0.787, 1.257e-4, 1.760e-5
-0.786, 1.259e-4, 1.759e-5
-0.785, 1.261e-4, 1.758e-5
-0.784, 1.264e-4, 1.756e-5
-0.783, 1.267e-4, 1.754e-5
-0.782, 1.270e-4, 1.752e-5
-0.781, 1.273e-4, 1.751e-5
-0.780, 1.276e-4, 1.750e-5
-0.779, 1.277e-4, 1.747e-5
-0.778, 1.280e-4, 1.744e-5
-0.777, 1.283e-4, 1.743e-5
-0.776, 1.284e-4, 1.742e-5
-0.775, 1.286e-4, 1.741e-5
-0.774, 1.289e-4, 1.739e-5
-0.773, 1.291e-4, 1.735e-5
-0.772, 1.293e-4, 1.733e-5
-0.771, 1.296e-4, 1.733e-5
-0.770, 1.298e-4, 1.732e-5
-0.769, 1.300e-4, 1.731e-5
-0.768, 1.303e-4, 1.728e-5
-0.767, 1.305e-4, 1.726e-5
-0.766, 1.306e-4, 1.725e-5
-0.765, 1.308e-4, 1.723e-5
-0.764, 1.311e-4, 1.721e-5
-0.763, 1.312e-4, 1.720e-5
-0.762, 1.315e-4, 1.718e-5
-0.761, 1.316e-4, 1.716e-5
-0.760, 1.317e-4, 1.715e-5
-0.759, 1.319e-4, 1.714e-5
-0.758, 1.321e-4, 1.713e-5
-0.757, 1.322e-4, 1.713e-5
-0.756, 1.324e-4, 1.712e-5
-0.755, 1.327e-4, 1.710e-5
-0.754, 1.329e-4, 1.705e-5
-0.753, 1.330e-4, 1.704e-5
-0.752, 1.332e-4, 1.703e-5
-0.751, 1.334e-4, 1.702e-5
-0.750, 1.335e-4, 1.700e-5
-0.749, 1.337e-4, 1.699e-5
-0.748, 1.339e-4, 1.699e-5
-0.747, 1.340e-4, 1.698e-5
-0.746, 1.342e-4, 1.698e-5
-0.745, 1.344e-4, 1.696e-5
-0.744, 1.345e-4, 1.695e-5
-0.743, 1.347e-4, 1.692e-5
-0.742, 1.348e-4, 1.691e-5
-0.741, 1.348e-4, 1.691e-5
-0.740, 1.349e-4, 1.690e-5
-0.739, 1.351e-4, 1.688e-5
-0.738, 1.352e-4, 1.687e-5
-0.737, 1.353e-4, 1.687e-5
-0.736, 1.355e-4, 1.686e-5
-0.735, 1.356e-4, 1.686e-5
-0.734, 1.356e-4, 1.685e-5
-0.733, 1.358e-4, 1.684e-5
-0.732, 1.359e-4, 1.683e-5
-0.731, 1.360e-4, 1.681e-5
-0.730, 1.362e-4, 1.681e-5
-0.729, 1.364e-4, 1.679e-5
-0.728, 1.364e-4, 1.677e-5
-0.727, 1.366e-4, 1.675e-5
-0.726, 1.368e-4, 1.673e-5
-0.725, 1.368e-4, 1.674e-5
-0.724, 1.369e-4, 1.674e-5
-0.723, 1.371e-4, 1.672e-5
-0.722, 1.372e-4, 1.670e-5
-0.721, 1.373e-4, 1.669e-5
-0.720, 1.374e-4, 1.667e-5
-0.719, 1.376e-4, 1.666e-5
-0.718, 1.377e-4, 1.665e-5
-0.717, 1.379e-4, 1.664e-5
-0.716, 1.382e-4, 1.664e-5
-0.715, 1.381e-4, 1.664e-5
-0.714, 1.382e-4, 1.663e-5
-0.713, 1.383e-4, 1.664e-5
-0.712, 1.383e-4, 1.663e-5
-0.711, 1.384e-4, 1.661e-5
-0.710, 1.385e-4, 1.660e-5
-0.709, 1.385e-4, 1.660e-5
-0.708, 1.387e-4, 1.659e-5
-0.707, 1.387e-4, 1.658e-5
-0.706, 1.389e-4, 1.658e-5
-0.705, 1.389e-4, 1.658e-5
-0.704, 1.390e-4, 1.656e-5
-0.703, 1.391e-4, 1.655e-5
-0.702, 1.390e-4, 1.655e-5
-0.701, 1.391e-4, 1.655e-5
-0.700, 1.392e-4, 1.654e-5
-0.699, 1.393e-4, 1.654e-5
-0.698, 1.394e-4, 1.653e-5
-0.697, 1.396e-4, 1.652e-5
-0.696, 1.396e-4, 1.650e-5
-0.695, 1.397e-4, 1.650e-5
-0.694, 1.399e-4, 1.647e-5
-0.693, 1.399e-4, 1.645e-5
-0.692, 1.400e-4, 1.643e-5
-0.691, 1.402e-4, 1.641e-5
-0.690, 1.402e-4, 1.642e-5
-0.689, 1.403e-4, 1.643e-5
-0.688, 1.403e-4, 1.645e-5
-0.687, 1.404e-4, 1.645e-5
-0.686, 1.404e-4, 1.644e-5
-0.685, 1.405e-4, 1.642e-5
-0.684, 1.407e-4, 1.641e-5
-0.683, 1.406e-4, 1.642e-5
-0.682, 1.407e-4, 1.642e-5
-0.681, 1.409e-4, 1.641e-5
-0.680, 1.409e-4, 1.640e-5
-0.679, 1.410e-4, 1.638e-5
-0.678, 1.412e-4, 1.638e-5
-0.677, 1.412e-4, 1.638e-5
-0.676, 1.412e-4, 1.637e-5
-0.675, 1.413e-4, 1.636e-5
-0.674, 1.413e-4, 1.635e-5
-0.673, 1.414e-4, 1.635e-5
-0.672, 1.416e-4, 1.632e-5
-0.671, 1.416e-4, 1.631e-5
-0.670, 1.416e-4, 1.631e-5
-0.669, 1.417e-4, 1.632e-5
-0.668, 1.418e-4, 1.632e-5
-0.667, 1.419e-4, 1.632e-5
-0.666, 1.420e-4, 1.631e-5
-0.665, 1.420e-4, 1.630e-5
-0.664, 1.420e-4, 1.630e-5
-0.663, 1.421e-4, 1.629e-5
-0.662, 1.422e-4, 1.629e-5
-0.661, 1.422e-4, 1.629e-5
-0.660, 1.423e-4, 1.628e-5
-0.659, 1.424e-4, 1.626e-5
-0.658, 1.425e-4, 1.627e-5
-0.657, 1.425e-4, 1.627e-5
-0.656, 1.425e-4, 1.625e-5
-0.655, 1.427e-4, 1.624e-5
-0.654, 1.427e-4, 1.624e-5
-0.653, 1.428e-4, 1.624e-5
-0.652, 1.430e-4, 1.623e-5
-0.651, 1.429e-4, 1.623e-5
-0.650, 1.430e-4, 1.624e-5
-0.649, 1.431e-4, 1.623e-5
-0.648, 1.431e-4, 1.623e-5
-0.647, 1.431e-4, 1.622e-5
-0.646, 1.433e-4, 1.621e-5
-0.645, 1.432e-4, 1.622e-5
-0.644, 1.433e-4, 1.622e-5
-0.643, 1.434e-4, 1.622e-5
-0.642, 1.435e-4, 1.619e-5
-0.641, 1.435e-4, 1.615e-5
-0.640, 1.437e-4, 1.615e-5
-0.639, 1.437e-4, 1.613e-5
-0.638, 1.437e-4, 1.612e-5
-0.637, 1.438e-4, 1.611e-5
-0.636, 1.438e-4, 1.610e-5
-0.635, 1.438e-4, 1.611e-5
-0.634, 1.439e-4, 1.610e-5
-0.633, 1.440e-4, 1.610e-5
-0.632, 1.440e-4, 1.612e-5
-0.631, 1.440e-4, 1.611e-5
-0.630, 1.441e-4, 1.611e-5
-0.629, 1.441e-4, 1.611e-5
-0.628, 1.442e-4, 1.611e-5
-0.627, 1.443e-4, 1.612e-5
-0.626, 1.444e-4, 1.611e-5
-0.625, 1.443e-4, 1.612e-5
-0.624, 1.443e-4, 1.612e-5
-0.623, 1.444e-4, 1.611e-5
-0.622, 1.444e-4, 1.609e-5
-0.621, 1.446e-4, 1.610e-5
-0.620, 1.446e-4, 1.610e-5
-0.619, 1.446e-4, 1.610e-5
-0.618, 1.446e-4, 1.609e-5
-0.617, 1.447e-4, 1.608e-5
-0.616, 1.447e-4, 1.609e-5
-0.615, 1.448e-4, 1.609e-5
-0.614, 1.452e-4, 1.610e-5
-0.613, 1.450e-4, 1.610e-5
-0.612, 1.450e-4, 1.612e-5
-0.611, 1.451e-4, 1.611e-5
-0.610, 1.452e-4, 1.610e-5
-0.609, 1.452e-4, 1.608e-5
-0.608, 1.453e-4, 1.608e-5
-0.607, 1.452e-4, 1.608e-5
-0.606, 1.451e-4, 1.609e-5
-0.605, 1.452e-4, 1.609e-5
-0.604, 1.452e-4, 1.608e-5
-0.603, 1.453e-4, 1.607e-5
-0.602, 1.453e-4, 1.606e-5
-0.601, 1.454e-4, 1.604e-5
-0.600, 1.454e-4, 1.605e-5
-0.599, 1.453e-4, 1.606e-5
-0.598, 1.454e-4, 1.606e-5
-0.597, 1.454e-4, 1.606e-5
-0.596, 1.454e-4, 1.605e-5
-0.595, 1.455e-4, 1.605e-5
-0.594, 1.455e-4, 1.605e-5
-0.593, 1.455e-4, 1.606e-5
-0.592, 1.455e-4, 1.607e-5
-0.591, 1.455e-4, 1.605e-5
-0.590, 1.455e-4, 1.604e-5
-0.589, 1.457e-4, 1.603e-5
-0.588, 1.457e-4, 1.604e-5
-0.587, 1.457e-4, 1.605e-5
-0.586, 1.457e-4, 1.605e-5
-0.585, 1.459e-4, 1.605e-5
-0.584, 1.458e-4, 1.602e-5
-0.583, 1.460e-4, 1.604e-5
-0.582, 1.460e-4, 1.603e-5
-0.581, 1.460e-4, 1.602e-5
-0.580, 1.459e-4, 1.603e-5
-0.579, 1.460e-4, 1.602e-5
-0.578, 1.460e-4, 1.603e-5
-0.577, 1.461e-4, 1.603e-5
-0.576, 1.461e-4, 1.603e-5
-0.575, 1.462e-4, 1.603e-5
-0.574, 1.461e-4, 1.603e-5
-0.573, 1.461e-4, 1.604e-5
-0.572, 1.462e-4, 1.604e-5
-0.571, 1.461e-4, 1.603e-5
-0.570, 1.462e-4, 1.602e-5
-0.569, 1.463e-4, 1.602e-5
-0.568, 1.462e-4, 1.602e-5
-0.567, 1.463e-4, 1.602e-5
-0.566, 1.463e-4, 1.601e-5
-0.565, 1.463e-4, 1.601e-5
-0.564, 1.464e-4, 1.601e-5
-0.563, 1.465e-4, 1.602e-5
-0.562, 1.465e-4, 1.601e-5
-0.561, 1.465e-4, 1.599e-5
-0.560, 1.465e-4, 1.600e-5
-0.559, 1.465e-4, 1.601e-5
-0.558, 1.466e-4, 1.600e-5
-0.557, 1.467e-4, 1.601e-5
-0.556, 1.467e-4, 1.600e-5
-0.555, 1.467e-4, 1.599e-5
-0.554, 1.468e-4, 1.600e-5
-0.553, 1.469e-4, 1.600e-5
-0.552, 1.468e-4, 1.600e-5
-0.551, 1.468e-4, 1.599e-5
-0.550, 1.469e-4, 1.599e-5
-0.549, 1.467e-4, 1.601e-5
-0.548, 1.467e-4, 1.602e-5
-0.547, 1.468e-4, 1.602e-5
-0.546, 1.468e-4, 1.602e-5
-0.545, 1.468e-4, 1.603e-5
-0.544, 1.469e-4, 1.601e-5
-0.543, 1.469e-4, 1.602e-5
-0.542, 1.468e-4, 1.602e-5
-0.541, 1.469e-4, 1.600e-5
-0.540, 1.470e-4, 1.600e-5
-0.539, 1.469e-4, 1.600e-5
-0.538, 1.470e-4, 1.599e-5
-0.537, 1.470e-4, 1.600e-5
-0.536, 1.470e-4, 1.600e-5
-0.535, 1.470e-4, 1.600e-5
-0.534, 1.470e-4, 1.600e-5
-0.533, 1.469e-4, 1.601e-5
-0.532, 1.469e-4, 1.603e-5
-0.531, 1.469e-4, 1.605e-5
-0.530, 1.469e-4, 1.605e-5
-0.529, 1.469e-4, 1.603e-5
-0.528, 1.470e-4, 1.602e-5
-0.527, 1.469e-4, 1.601e-5
-0.526, 1.470e-4, 1.600e-5
-0.525, 1.471e-4, 1.600e-5
-0.524, 1.471e-4, 1.602e-5
-0.523, 1.470e-4, 1.602e-5
-0.522, 1.471e-4, 1.601e-5
-0.521, 1.471e-4, 1.601e-5
-0.520, 1.470e-4, 1.602e-5
-0.519, 1.471e-4, 1.602e-5
-0.518, 1.472e-4, 1.602e-5
-0.517, 1.471e-4, 1.602e-5
-0.516, 1.471e-4, 1.603e-5
-0.515, 1.472e-4, 1.604e-5
-0.514, 1.472e-4, 1.602e-5
-0.513, 1.473e-4, 1.602e-5
-0.512, 1.475e-4, 1.602e-5
-0.511, 1.475e-4, 1.603e-5
-0.510, 1.473e-4, 1.604e-5
-0.509, 1.473e-4, 1.604e-5
-0.508, 1.473e-4, 1.604e-5
-0.507, 1.473e-4, 1.604e-5
-0.506, 1.473e-4, 1.605e-5
-0.505, 1.473e-4, 1.605e-5
-0.504, 1.472e-4, 1.605e-5
-0.503, 1.472e-4, 1.605e-5
-0.502, 1.472e-4, 1.603e-5
-0.501, 1.472e-4, 1.602e-5
-0.500, 1.472e-4, 1.602e-5
-0.499, 1.473e-4, 1.602e-5
-0.498, 1.472e-4, 1.603e-5
-0.497, 1.471e-4, 1.605e-5
-0.496, 1.472e-4, 1.605e-5
-0.495, 1.471e-4, 1.606e-5
-0.494, 1.471e-4, 1.606e-5
-0.493, 1.472e-4, 1.605e-5
-0.492, 1.472e-4, 1.605e-5
-0.491, 1.472e-4, 1.605e-5
-0.490, 1.472e-4, 1.605e-5
-0.489, 1.472e-4, 1.606e-5
-0.488, 1.471e-4, 1.605e-5
-0.487, 1.472e-4, 1.607e-5
