Reaction,Reference,IR Compensation,Area(cm²),pH,Sample,Onset Potential,Half-wave Potential
ORR,Ag/AgCl,Auto,0.2475,13,223,1.041,0.823
ORR,Ag/AgCl,Auto,0.2475,13,226,0.997,0.824
ORR,Ag/AgCl,Auto,0.2475,13,233,1.077,0.762
ORR,Ag/AgCl,Auto,0.2475,13,243,1.019,0.794
ORR,Ag/AgCl,Auto,0.2475,13,230,1.008,0.853
ORR,Ag/AgCl,Auto,0.2475,13,239,0.967,0.800
ORR,Ag/AgCl,Auto,0.2475,13,225,0.973,0.833
ORR,Ag/AgCl,Auto,0.2475,13,245,0.995,0.795
ORR,Ag/AgCl,Auto,0.2475,13,242,1.113,0.810
ORR,Ag/AgCl,Auto,0.2475,13,232,1.000,0.816
ORR,Ag/AgCl,Auto,0.2475,13,227,1.008,0.805
ORR,Ag/AgCl,Auto,0.2475,13,237,0.996,0.835
ORR,Ag/AgCl,Auto,0.2475,13,234,1.033,0.835
ORR,Ag/AgCl,Auto,0.2475,13,244,0.983,0.840
ORR,Ag/AgCl,Auto,0.2475,13,224,1.001,0.840
ORR,Ag/AgCl,Auto,0.2475,13,238,0.998,0.733
ORR,Ag/AgCl,Auto,0.2475,13,241,1.003,0.842
ORR,Ag/AgCl,Auto,0.2475,13,231,1.058,0.775
