Potential,Disk-O2,Ring-O2,Disk-N2,Ring-N2,Disk-Density,Ring-Density,Potential_RHE,ABS
-0.9000,-0.0014900,0.0000500,-0.00035600,0.00001570,-4.5818181038e+00,1.3858585060e-01,0.0673,2.3410100937e+00
-0.8990,-0.0013900,0.0000498,-0.00031500,0.00001550,-4.3434343338e+00,1.3858585060e-01,0.0683,2.1026263237e+00
-0.8980,-0.0013500,0.0000497,-0.00027900,0.00001530,-4.3272728920e+00,1.3898989558e-01,0.0693,2.0864648819e+00
-0.8970,-0.0013100,0.0000496,-0.00024700,0.00001510,-4.2949490547e+00,1.3939394057e-01,0.0703,2.0541410446e+00
-0.8960,-0.0012800,0.0000496,-0.00021900,0.00001490,-4.2868685722e+00,1.4020201564e-01,0.0713,2.0460605621e+00
-0.8950,-0.0012600,0.0000495,-0.00019400,0.00001480,-4.3070712090e+00,1.4020201564e-01,0.0723,2.0662631989e+00
-0.8940,-0.0012400,0.0000494,-0.00017200,0.00001470,-4.3151516914e+00,1.4020203054e-01,0.0733,2.0743436813e+00
-0.8930,-0.0012200,0.0000492,-0.00015200,0.00001450,-4.3151516914e+00,1.4020201564e-01,0.0743,2.0743436813e+00
-0.8920,-0.0012100,0.0000490,-0.00013400,0.00001440,-4.3474750519e+00,1.3979797065e-01,0.0753,2.1066670418e+00
-0.8910,-0.0012000,0.0000489,-0.00011800,0.00001430,-4.3717174530e+00,1.3979798555e-01,0.0763,2.1309094429e+00
-0.8900,-0.0011800,0.0000487,-0.00010300,0.00001420,-4.3515152931e+00,1.3939394057e-01,0.0773,2.1107072830e+00
-0.8890,-0.0011700,0.0000487,-0.00008980,0.00001410,-4.3644442558e+00,1.3979798555e-01,0.0783,2.1236362457e+00
-0.8880,-0.0011600,0.0000485,-0.00007780,0.00001400,-4.3725252151e+00,1.3939392567e-01,0.0793,2.1317172050e+00
-0.8870,-0.0011600,0.0000483,-0.00006690,0.00001390,-4.4165654182e+00,1.3898989558e-01,0.0803,2.1757574081e+00
-0.8860,-0.0011500,0.0000484,-0.00005680,0.00001380,-4.4169697762e+00,1.3979798555e-01,0.0813,2.1761617661e+00
-0.8850,-0.0011400,0.0000482,-0.00004780,0.00001370,-4.4129290581e+00,1.3939394057e-01,0.0823,2.1721210480e+00
-0.8840,-0.0011400,0.0000480,-0.00003940,0.00001360,-4.4468688965e+00,1.3898989558e-01,0.0833,2.2060608864e+00
-0.8830,-0.0011300,0.0000479,-0.00003180,0.00001350,-4.4371714592e+00,1.3898989558e-01,0.0843,2.1963634491e+00
-0.8820,-0.0011300,0.0000478,-0.00002480,0.00001340,-4.4654545784e+00,1.3898989558e-01,0.0853,2.2246465683e+00
-0.8810,-0.0011200,0.0000477,-0.00001820,0.00001330,-4.4517173767e+00,1.3898989558e-01,0.0863,2.2109093666e+00
-0.8800,-0.0011200,0.0000476,-0.00001230,0.00001330,-4.4755558968e+00,1.3858585060e-01,0.0873,2.2347478867e+00
-0.8790,-0.0011200,0.0000476,-0.00000678,0.00001320,-4.4978585243e+00,1.3898989558e-01,0.0883,2.2570505142e+00
-0.8780,-0.0011100,0.0000475,-0.00000169,0.00001310,-4.4780201912e+00,1.3898989558e-01,0.0893,2.2372121811e+00
-0.8770,-0.0011100,0.0000472,0.00000306,0.00001310,-4.4972119331e+00,1.3777777553e-01,0.0903,2.2564039230e+00
-0.8760,-0.0011100,0.0000472,0.00000743,0.00001300,-4.5148682594e+00,1.3818180561e-01,0.0913,2.2740602493e+00
-0.8750,-0.0011000,0.0000471,0.00001130,0.00001290,-4.4901008606e+00,1.3818180561e-01,0.0923,2.2492928505e+00
-0.8740,-0.0011000,0.0000470,0.00001510,0.00001290,-4.5054545403e+00,1.3777779043e-01,0.0933,2.2646465302e+00
-0.8730,-0.0011000,0.0000469,0.00001860,0.00001280,-4.5195960999e+00,1.3777779043e-01,0.0943,2.2787880898e+00
-0.8720,-0.0010900,0.0000469,0.00002180,0.00001280,-4.4921216965e+00,1.3777779043e-01,0.0953,2.2513136864e+00
-0.8710,-0.0010900,0.0000467,0.00002480,0.00001270,-4.5042424202e+00,1.3737373054e-01,0.0963,2.2634344101e+00
-0.8700,-0.0010900,0.0000467,0.00002780,0.00001270,-4.5163636208e+00,1.3737373054e-01,0.0973,2.2755556107e+00
-0.8690,-0.0010900,0.0000466,0.00003040,0.00001260,-4.5268688202e+00,1.3737373054e-01,0.0983,2.2860608101e+00
-0.8680,-0.0010900,0.0000466,0.00003280,0.00001250,-4.5365657806e+00,1.3777777553e-01,0.0993,2.2957577705e+00
-0.8670,-0.0010800,0.0000465,0.00003520,0.00001250,-4.5058584213e+00,1.3737374544e-01,0.1003,2.2650504112e+00
-0.8660,-0.0010800,0.0000464,0.00003720,0.00001240,-4.5139393806e+00,1.3737374544e-01,0.1013,2.2731313705e+00
-0.8650,-0.0010800,0.0000464,0.00003920,0.00001240,-4.5220198631e+00,1.3737374544e-01,0.1023,2.2812118530e+00
-0.8640,-0.0010700,0.0000463,0.00004130,0.00001230,-4.4901008606e+00,1.3737374544e-01,0.1033,2.2492928505e+00
-0.8630,-0.0010800,0.0000461,0.00004310,0.00001230,-4.5377774239e+00,1.3656567037e-01,0.1043,2.2969694138e+00
-0.8620,-0.0010800,0.0000462,0.00004480,0.00001220,-4.5446462631e+00,1.3737373054e-01,0.1053,2.3038382530e+00
