"Ewe/V";"I/mA"
-1.758532077074051E-001;0.000000000000000E+000
1.378672719001770E-001;0.000000000000000E+000
9.976828098297119E-002;-2.273719180375338E-001
1.015078201889992E-001;-9.420882000156494E-002
1.045526117086411E-001;-5.827655772852014E-002
1.077015772461891E-001;-4.771910254609224E-002
1.106894165277481E-001;-4.085544089906018E-002
1.138336881995201E-001;-3.537347379907474E-002
1.168749555945396E-001;-3.083078659598359E-002
1.200164854526520E-001;-2.667392158998766E-002
1.231726706027985E-001;-2.306869507412174E-002
1.261013299226761E-001;-1.969947526500820E-002
1.291686594486237E-001;-1.652796769116173E-002
1.323962360620499E-001;-1.372407759337919E-002
1.354167610406876E-001;-1.097424138660925E-002
1.384724229574203E-001;-8.532720441565778E-003
1.414882987737656E-001;-6.267605860276689E-003
1.445816755294800E-001;-4.048336339078199E-003
1.477433443069458E-001;-2.040171209830952E-003
1.507799327373505E-001;-1.593944716478985E-004
1.538712978363037E-001;1.855560387791132E-003
1.569421589374542E-001;3.485844485445401E-003
1.600465923547745E-001;5.241322609968443E-003
1.631562411785126E-001;6.825764583915157E-003
1.662247329950333E-001;8.233362539243255E-003
1.692931205034256E-001;9.702950497136320E-003
1.724137514829636E-001;1.099836829123062E-002
1.754903048276901E-001;1.230243249401777E-002
1.784813404083252E-001;1.344652175525146E-002
1.815168857574463E-001;1.459226420971477E-002
1.846993118524551E-001;1.573119250242910E-002
1.878190189599991E-001;1.682161184139490E-002
1.907369196414948E-001;1.792453454992152E-002
1.939714998006821E-001;1.903059525691614E-002
1.969701349735260E-001;2.001767252864882E-002
2.000502198934555E-001;2.096113016720497E-002
2.031726688146591E-001;2.194809850883650E-002
2.062611877918243E-001;2.290705322159048E-002
2.093677520751953E-001;2.386383673063111E-002
2.124207466840744E-001;2.484598078869205E-002
2.155331373214722E-001;2.579813525038693E-002
2.185612916946411E-001;2.671182549438987E-002
2.215671241283417E-001;2.774603209697657E-002
2.246361821889877E-001;2.880602276578648E-002
2.277707159519196E-001;2.991765065923502E-002
2.308677285909653E-001;3.109306702442938E-002
2.339434921741486E-001;3.239414691167575E-002
2.370150983333588E-001;3.355358529070358E-002
2.400856167078018E-001;3.482991504518873E-002
2.432317584753037E-001;3.611437499895287E-002
2.462605684995651E-001;3.711160425110349E-002
2.493586689233780E-001;3.794862673146945E-002
2.524153590202332E-001;3.856164547263757E-002
2.555256187915802E-001;3.902486205959099E-002
2.586115002632141E-001;3.942038361488942E-002
2.616703510284424E-001;3.977178467666093E-002
2.646718621253967E-001;4.021602425935417E-002
2.679396271705627E-001;4.035687453130977E-002
2.709041833877563E-001;4.063918210814277E-002
2.739102542400360E-001;4.099680086994287E-002
2.770526409149170E-001;4.109163587388572E-002
2.800722718238831E-001;4.107739487255979E-002
2.832985818386078E-001;4.104784294292008E-002
2.863298952579498E-001;4.099425594326644E-002
2.893050014972687E-001;4.117630027758196E-002
2.925376892089844E-001;4.153143902274919E-002
2.955028712749481E-001;4.177280421429586E-002
2.986235916614532E-001;4.220117315256555E-002
3.016782701015472E-001;4.271782220004167E-002
3.047276139259338E-001;4.321757004734123E-002
3.079093098640442E-001;4.372628940274748E-002
3.109501898288727E-001;4.428610210473402E-002
3.140421807765961E-001;4.496816528393004E-002
3.171113431453705E-001;4.580512223852579E-002
3.201829195022583E-001;4.644857747696160E-002
3.233668506145477E-001;4.728281225525444E-002
3.264622688293457E-001;4.807013636071100E-002
3.294008374214172E-001;4.882150963550314E-002
3.326070308685303E-001;4.966475128734055E-002
3.355863392353058E-001;5.054736520824975E-002
3.386515974998474E-001;5.142938324501710E-002
3.417613804340363E-001;5.231838444533277E-002
3.447736799716949E-001;5.327361938852082E-002
3.480051755905151E-001;5.419502652664399E-002
3.509940803050995E-001;5.525992379458872E-002
3.540406227111816E-001;5.619561077437540E-002
3.572400212287903E-001;5.728696435210490E-002
3.602628409862518E-001;5.835100308990696E-002
3.633291721343994E-001;5.939937700774367E-002
3.664745688438416E-001;6.061298674698956E-002
3.694256246089935E-001;6.175854497421596E-002
3.726265430450439E-001;6.292519548102660E-002
3.757532238960266E-001;6.413920982461575E-002
3.787389397621155E-001;6.535453102597288E-002
3.818476200103760E-001;6.657679849257936E-002
3.848611414432526E-001;6.783580773409778E-002
3.880214989185333E-001;6.931135282174328E-002
3.910994231700897E-001;7.077882635622745E-002
3.941201269626617E-001;7.217150067327793E-002
3.972591161727905E-001;7.380220851896602E-002
4.002919495105743E-001;7.539006243374136E-002
4.032575190067291E-001;7.708814093462146E-002
4.065377414226532E-001;7.894665595907835E-002
4.094335138797760E-001;8.098676727124926E-002
4.126778542995453E-001;8.287257682331090E-002
4.156624674797058E-001;8.555078947249317E-002
4.186969697475433E-001;9.009758317605709E-002
4.219391942024231E-001;1.006950295011216E-001
4.248384833335876E-001;1.299673025035991E-001
4.279265403747559E-001;2.219642606666068E-001
4.311284720897675E-001;4.665519317265370E-001
4.341778159141541E-001;8.396981023457801E-001
4.372691512107849E-001;1.290655807621697E+000
4.403888285160065E-001;1.770504285463726E+000
4.434434175491333E-001;2.234620489440516E+000
4.465169608592987E-001;2.671272851851150E+000
4.495165944099426E-001;3.083769097211382E+000
4.525712430477142E-001;3.479795170373382E+000
4.557798504829407E-001;3.863731652511191E+000
4.587419331073761E-001;4.245980269029040E+000
4.618495702743530E-001;4.628129435937499E+000
4.649741053581238E-001;5.009571277371890E+000
4.680590331554413E-001;5.388323232982977E+000
4.711755514144897E-001;5.766476563066313E+000
4.741814136505127E-001;6.141459089051580E+000
4.773469269275665E-001;6.513113153696438E+000
4.804496467113495E-001;6.881478804691634E+000
4.834512770175934E-001;7.244408385758419E+000
4.866118729114532E-001;7.606388363427499E+000
4.895605146884918E-001;7.967038016667914E+000
4.926744401454926E-001;8.322663351060317E+000
4.957856833934784E-001;8.673951747796565E+000
4.988133907318115E-001;9.025361141075265E+000
5.019146800041199E-001;9.373962626757532E+000
5.050137639045715E-001;9.729250026976828E+000
5.080278515815735E-001;1.007430249248149E+001
5.112777352333069E-001;1.041728578670511E+001
5.142846703529358E-001;1.075751785769253E+001
5.172873139381409E-001;1.110358715654652E+001
5.204924941062927E-001;1.143843349557508E+001
5.234474539756775E-001;1.177089530366263E+001
5.265436172485352E-001;1.210285512923153E+001
5.296298265457153E-001;1.243502576065129E+001
5.327416658401489E-001;1.276017814484422E+001
5.358397364616394E-001;1.308240277352078E+001
5.388500094413757E-001;1.340492367237653E+001
5.420114994049072E-001;1.373025797279020E+001
5.450322628021240E-001;1.405674863734004E+001
5.480548143386841E-001;1.437630937183816E+001
5.511785149574280E-001;1.469632286801436E+001
5.543020367622375E-001;1.502023678811322E+001
5.573928356170654E-001;1.533689979775377E+001
5.604398846626282E-001;1.564645339666464E+001
5.634987950325012E-001;1.595942332229498E+001
5.665978789329529E-001;1.626790384597052E+001
5.697192549705505E-001;1.657258866267892E+001
5.727961659431458E-001;1.687273777816102E+001
5.758783221244812E-001;1.717040972080261E+001
5.788828730583191E-001;1.747577420908772E+001
5.819176435470581E-001;1.777999321085638E+001
5.851301550865173E-001;1.810262469908726E+001
5.881296396255493E-001;1.839281468461836E+001
5.912902355194092E-001;1.866139179159339E+001
5.943735241889954E-001;1.893073918460914E+001
5.973647832870483E-001;1.918684833255088E+001
6.005303859710693E-001;1.943168094468660E+001
6.035225391387939E-001;1.966276876704501E+001
6.066787838935852E-001;1.990000855339690E+001
6.098050475120544E-001;2.012506798803645E+001
6.127902865409851E-001;2.033479489883606E+001
6.159879565238953E-001;2.052747263820595E+001
6.188708543777466E-001;2.071956321939274E+001
6.219816803932190E-001;2.088976100386267E+001
6.251941919326782E-001;2.111994952305108E+001
6.281269788742065E-001;2.131986580222730E+001
6.313638091087341E-001;2.144357884900414E+001
6.344300508499146E-001;2.154339565553309E+001
6.374320983886719E-001;2.162001816195696E+001
6.405881047248840E-001;2.166597330252145E+001
6.437063217163086E-001;2.168465423826133E+001
6.467344164848328E-001;2.166907224841543E+001
6.498034000396729E-001;2.162531581176643E+001
6.528309583663940E-001;2.156062174496407E+001
6.559576988220215E-001;2.144865428819276E+001
6.591054797172546E-001;2.129536514281597E+001
6.620870232582092E-001;2.110977879450456E+001
6.651850342750549E-001;2.087692983876835E+001
6.682664155960083E-001;2.058909290882207E+001
6.714067459106445E-001;2.024879131044673E+001
6.744686961174011E-001;1.984857737182809E+001
6.774766445159912E-001;1.939314852725185E+001
6.806340813636780E-001;1.885036858278796E+001
6.836441755294800E-001;1.826290472184846E+001
6.867644786834717E-001;1.764860112825667E+001
6.898897886276245E-001;1.697712339403216E+001
6.928387880325317E-001;1.628220350715318E+001
6.959983110427856E-001;1.558823989562268E+001
6.990879178047180E-001;1.492542170506510E+001
7.021287083625793E-001;1.433274207205045E+001
7.052501440048218E-001;1.384536498750450E+001
7.082952260971069E-001;1.344963800009455E+001
7.113847732543945E-001;1.315969919414530E+001
7.144849896430969E-001;1.295989552838813E+001
7.175629138946533E-001;1.283697154306404E+001
7.207199931144714E-001;1.278822345040284E+001
7.237007617950439E-001;1.278726837566691E+001
7.268211245536804E-001;1.285138292887555E+001
7.299306988716125E-001;1.295427141912674E+001
7.328869104385376E-001;1.311908221761963E+001
7.361164093017578E-001;1.330192929192447E+001
7.391690015792847E-001;1.349645382363397E+001
7.421832680702209E-001;1.371294408765407E+001
7.452834844589233E-001;1.396680514281795E+001
7.483837008476257E-001;1.422512078969027E+001
7.515130639076233E-001;1.449609778997427E+001
7.545946836471558E-001;1.477553040985057E+001
7.576227188110352E-001;1.505508292491157E+001
7.607480287551880E-001;1.534340878529210E+001
7.638168334960938E-001;1.563194744565425E+001
7.668300867080688E-001;1.593618946683706E+001
7.699675559997559E-001;1.626652456062783E+001
7.729053497314453E-001;1.665857923849208E+001
7.760332226753235E-001;1.697015987902122E+001
7.791612148284912E-001;1.734231173288886E+001
7.822610735893250E-001;1.764297245998148E+001
7.853294610977173E-001;1.791882903077306E+001
7.883788347244263E-001;1.818427077062727E+001
7.914965152740479E-001;1.846974167528018E+001
7.946618795394897E-001;1.877604812291673E+001
7.975892424583435E-001;1.904063557615842E+001
8.007284998893738E-001;1.930686337401528E+001
8.038097620010376E-001;1.955515795046745E+001
8.068261742591858E-001;1.982374182847575E+001
8.099903464317322E-001;2.009029878569839E+001
8.130552768707275E-001;2.034263630087155E+001
8.160781264305115E-001;2.059173893117736E+001
8.192301988601685E-001;2.083670344169605E+001
8.222455978393555E-001;2.112854409959505E+001
