Ewe/V;"I/mA"
2.193441800773144E-002;0.000000000000000E+000
4.669296741485596E-002;0.000000000000000E+000
6.643881648778915E-002;0.000000000000000E+000
8.286507427692413E-002;0.000000000000000E+000
9.738351404666901E-002;0.000000000000000E+000
1.099559888243675E-001;0.000000000000000E+000
1.213265433907509E-001;0.000000000000000E+000
1.320293694734573E-001;0.000000000000000E+000
1.410723924636841E-001;0.000000000000000E+000
1.500963419675827E-001;0.000000000000000E+000
1.576703488826752E-001;0.000000000000000E+000
1.655114591121674E-001;0.000000000000000E+000
1.720934063196182E-001;0.000000000000000E+000
1.784464120864868E-001;0.000000000000000E+000
1.847421973943710E-001;0.000000000000000E+000
1.901985406875610E-001;0.000000000000000E+000
1.957693397998810E-001;0.000000000000000E+000
2.005770206451416E-001;0.000000000000000E+000
2.052511572837830E-001;0.000000000000000E+000
2.098489850759506E-001;0.000000000000000E+000
2.135692238807678E-001;0.000000000000000E+000
2.179571837186813E-001;0.000000000000000E+000
2.217918932437897E-001;0.000000000000000E+000
2.249397784471512E-001;0.000000000000000E+000
2.288126349449158E-001;0.000000000000000E+000
2.318460494279861E-001;0.000000000000000E+000
2.352801114320755E-001;0.000000000000000E+000
2.382944524288177E-001;0.000000000000000E+000
2.406601458787918E-001;0.000000000000000E+000
2.435600161552429E-001;0.000000000000000E+000
2.460974007844925E-001;0.000000000000000E+000
2.489400357007980E-001;0.000000000000000E+000
2.512103319168091E-001;0.000000000000000E+000
2.531372308731079E-001;0.000000000000000E+000
2.556937038898468E-001;0.000000000000000E+000
2.574488818645477E-001;0.000000000000000E+000
2.600244283676147E-001;0.000000000000000E+000
2.617796063423157E-001;0.000000000000000E+000
2.634584903717041E-001;0.000000000000000E+000
2.655761539936066E-001;0.000000000000000E+000
2.670642435550690E-001;0.000000000000000E+000
2.690865397453308E-001;0.000000000000000E+000
2.705937027931213E-001;0.000000000000000E+000
2.719482481479645E-001;0.000000000000000E+000
2.737606763839722E-001;0.000000000000000E+000
2.746954858303070E-001;0.000000000000000E+000
2.767177820205688E-001;0.000000000000000E+000
2.776907682418823E-001;0.000000000000000E+000
2.789499163627625E-001;0.000000000000000E+000
2.806860208511353E-001;0.000000000000000E+000
2.812965214252472E-001;0.000000000000000E+000
1.999616920948029E-001;-8.312730523477132E-001
2.017725110054016E-001;-2.913444441767314E-001
2.050907909870148E-001;-1.934076335107089E-001
2.080258876085281E-001;-1.570136461022713E-001
2.112210094928741E-001;-1.341640840483609E-001
2.142318636178970E-001;-1.157669903133773E-001
2.173582464456558E-001;-1.005366366074512E-001
2.203489691019058E-001;-8.728118799975992E-002
2.234955132007599E-001;-7.560965288156862E-002
2.265604138374329E-001;-6.531208606689831E-002
2.296380251646042E-001;-5.589720278380883E-002
2.327633500099182E-001;-4.745697935402773E-002
2.358325272798538E-001;-3.966328146188929E-002
2.388794124126434E-001;-3.243826595701815E-002
2.419920265674591E-001;-2.580608769036691E-002
2.450505495071411E-001;-1.977673699903487E-002
2.481621056795120E-001;-1.412081283378719E-002
2.512672841548920E-001;-8.714511113903263E-003
2.542633116245270E-001;-3.585205348292778E-003
2.573757767677307E-001;1.058606469698967E-003
2.603321671485901E-001;6.094019493272082E-003
2.635453343391418E-001;9.857317551633910E-003
2.665742337703705E-001;1.387162030414067E-002
2.697143852710724E-001;1.767261308049893E-002
2.728079259395599E-001;2.123767382662067E-002
2.758240699768066E-001;2.456990295634054E-002
2.789419889450073E-001;2.805094339882136E-002
2.819984257221222E-001;3.127204389460581E-002
2.850050628185272E-001;3.447076783702452E-002
2.882173061370850E-001;3.760479020806074E-002
2.912259995937347E-001;4.045716185030057E-002
2.943544983863831E-001;4.333035990210893E-002
2.974035441875458E-001;4.608196134198617E-002
3.005150556564331E-001;4.886999972965711E-002
3.035078942775726E-001;5.161383601344727E-002
3.065028786659241E-001;5.430839206662189E-002
3.096992373466492E-001;5.698241585811564E-002
3.128446638584137E-001;5.958715131043646E-002
3.159021735191345E-001;6.234999540596797E-002
3.190688192844391E-001;6.486876614550785E-002
