Potential (V vs. RHE),Current density (mA/cm²)
0.7237,0.0000
0.9269,0.0000
1.0256,1559.9679
1.0272,898.9421
1.0303,677.6456
1.0333,586.2417
1.0365,525.2098
1.0395,477.0137
1.0428,433.9673
1.0460,395.2964
1.0490,362.2694
1.0522,331.9080
1.0553,303.8655
1.0584,277.5809
1.0614,253.3197
1.0645,230.7430
1.0676,210.0091
1.0706,191.7454
1.0737,175.0922
1.0768,160.5674
1.0799,147.8759
1.0830,136.7400
1.0861,127.8688
1.0892,119.8707
1.0922,113.3623
1.0953,108.4085
1.0984,104.3042
1.1014,101.0977
1.1045,98.6766
1.1076,97.0104
1.1106,95.9082
1.1137,95.2612
1.1168,95.0135
1.1200,95.2563
1.1230,95.4490
1.1261,95.8059
1.1292,96.6010
1.1322,97.3412
1.1353,98.4002
1.1384,99.4762
1.1414,100.4892
1.1445,101.5590
1.1476,102.6968
1.1507,104.0669
1.1539,105.4092
1.1569,106.5065
1.1600,107.5670
1.1631,109.2166
1.1661,110.5928
1.1692,112.0363
1.1723,113.4639
1.1754,114.9509
1.1785,116.4778
1.1815,117.7329
1.1846,119.1750
1.1877,120.7216
1.1908,122.2452
1.1939,123.9273
1.1969,125.5580
1.1999,127.2636
1.2031,129.0106
1.2061,130.6481
1.2092,132.5868
1.2124,134.3426
1.2153,136.0067
1.2185,138.2280
1.2215,139.9046
1.2246,141.9845
1.2277,144.2092
1.2308,146.2519
1.2339,148.6314
1.2370,150.9084
1.2400,153.1639
1.2433,155.9086
1.2462,158.1824
1.2493,160.5359
1.2524,163.1015
1.2554,165.7081
1.2586,168.7302
1.2616,171.5889
1.2646,174.3898
1.2678,177.6316
1.2708,180.5863
1.2740,183.8692
1.2771,187.3061
1.2801,190.8099
1.2832,194.5900
1.2863,198.2615
1.2893,201.9774
1.2925,205.7331
1.2955,209.8246
1.2986,214.1119
1.3016,218.2302
1.3047,222.6210
1.3078,227.4383
1.3109,232.0541
1.3140,236.6918
1.3171,241.9984
1.3202,247.6468
1.3233,252.6536
1.3263,257.9749
1.3294,263.5163
1.3325,269.3995
1.3356,275.2021
1.3386,281.3783
1.3417,287.5047
1.3447,293.8890
1.3479,300.4159
1.3509,307.2358
1.3539,314.0128
1.3572,321.3327
1.3602,328.8368
1.3633,336.4010
1.3664,344.2766
1.3694,351.9697
1.3725,360.1454
1.3755,368.6637
1.3787,377.1748
1.3818,386.0554
1.3847,395.4314
1.3880,405.0192
1.3910,415.0071
1.3941,425.3241
1.3972,435.9727
1.4002,447.5236
1.4033,459.0717
1.4064,472.0034
1.4095,485.5149
1.4126,500.6352
1.4157,517.3943
1.4187,535.2435
1.4219,555.2529
1.4248,577.7587
1.4280,602.0709
1.4311,629.4060
1.4341,658.9644
1.4372,691.2851
1.4403,726.9846
1.4434,765.3872
1.4464,806.7067
1.4494,850.3017
1.4526,895.7356
1.4557,942.5718
1.4587,989.7408
1.4618,1038.4276
1.4649,1087.2625
1.4680,1134.9149
1.4711,1181.1851
1.4741,1228.3798
1.4772,1274.2340
1.4803,1320.6269
1.4834,1366.2623
1.4864,1411.2467
1.4896,1456.5543
1.4926,1501.4491
1.4957,1546.4909
1.4987,1591.2702
1.5019,1636.5500
1.5050,1683.4641
1.5080,1730.9605
1.5111,1779.3622
1.5142,1830.2092
1.5173,1882.4815
1.5204,1937.9105
1.5234,1996.4513
1.5265,2059.1697
1.5296,2127.1437
1.5327,2201.9980
1.5358,2285.1542
1.5388,2376.9955
1.5419,2481.3240
1.5450,2599.9106
1.5481,2734.3193
1.5512,2886.9120
1.5541,3058.3735
1.5573,3251.9738
1.5604,3468.5829
1.5635,3709.0536
1.5666,3973.3097
1.5696,4263.6646
1.5727,4581.8850
1.5758,4925.0571
1.5788,5293.7023
1.5819,5691.4819
1.5850,6123.9837
1.5881,6578.6114
1.5913,7056.2827
1.5942,7560.7250
1.5974,8094.6515
1.6005,8672.5327
1.6035,9247.9926
1.6067,9852.1469
1.6097,10472.1317
1.6128,11118.9977
1.6159,11774.7191
1.6189,12450.2330
1.6220,13151.6567
1.6251,13863.5658
1.6282,14595.1675
1.6312,15319.0058
1.6344,16065.3474
1.6374,16849.0043
1.6405,17637.7388
1.6436,18419.7775
1.6467,19245.9580
1.6498,20067.1486
1.6528,20875.1390
1.6559,21698.8676
1.6590,22538.1315
1.6621,23457.1335
1.6652,24452.3276
1.6682,25332.4838
1.6713,26191.3974
1.6744,27026.1696
1.6775,27881.2627
1.6805,28716.5497
1.6836,29663.5364
1.6867,30727.8151
1.6898,31582.5293
1.6928,32462.6351
1.6960,33354.9523
1.6990,34222.0295
1.7021,35116.9015
1.7052,36047.1658
1.7082,36948.7403
1.7114,37938.9806
1.7144,39031.0767
1.7175,40108.9548
1.7206,41036.0175
1.7236,41890.8965
1.7268,43313.5502
1.7298,44270.3169
1.7328,45078.7571
1.7360,46012.9507
1.7391,46855.1744
1.7422,47711.6611
1.7453,48606.5942
1.7483,49603.5096
1.7515,50549.4771
1.7545,51413.6073
1.7575,52336.6314
1.7606,53315.2397
1.7637,54367.4050
1.7668,55367.8763
1.7699,56285.4441
1.7729,57322.8896
1.7760,58348.5403
1.7791,59651.7426
1.7822,62576.9659
1.7853,63925.0126
1.7883,64769.1699
1.7914,65611.7107
1.7945,66470.5149
1.7975,67444.7118
1.8008,68559.1478
1.8037,69546.8995
1.8068,70689.0660
1.8100,72589.6319
1.8129,73666.0679
1.8160,74186.9297
1.8192,74983.7671
1.8222,76247.6506
1.8246,77006.6154
1.8251,77222.8701
